ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001487438-13-000014	31-MAR-2010								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001487438-13-000013	30-JUN-2010								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001487438-13-000012	30-SEP-2010								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001487438-13-000011	31-DEC-2010								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001487438-13-000010	31-MAR-2011								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001487438-13-000009	30-JUN-2011								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001487438-13-000008	30-SEP-2011								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001132716-13-000045	31-DEC-2012	Y	1	RESTATEMENT					UBS OCONNOR LLC	ONE NORTH WACKER DRIVE 32ND FLOOR		CHICAGO	IL	60606	13F HOLDINGS REPORT	028-06327			Y	Restatement of the Q4 2012 13F HR/A filing due to our Q4 2012 HR filing not including the issuer Clearwire.  In addition, our original 13F HR/A for Q42012 had September 30, 2012 incorrectly referenced in one of the fields.  Restating holdings on advice of our 13F SEC contact Kyle Ahlgren.
0001487438-13-000007	31-DEC-2011								DONALDSON CAPITAL MANAGEMENT, LLC	20 NORTHWEST FIRST STREET	5TH FLOOR	EVANSVILLE	IN	47708	13F HOLDINGS REPORT	028-15535			N	
0001062993-13-003184	31-MAR-2013								VGI PARTNERS PTY ltd	PO BOX R1343	ROYAL EXCHANGE	SYDNEY, NSW	C3	1225	13F HOLDINGS REPORT	028-15536			N	
0000885118-13-000019	31-MAR-2010								AMERICAN ASSETS INC	11455 EL CAMINO REAL #140		SAN DIEGO	CA	921302045	13F HOLDINGS REPORT	028-11686			N	
0000885118-13-000007	30-JUN-2010								AMERICAN ASSETS INC	11455 EL CAMINO REAL #140		SAN DIEGO	CA	921302045	13F HOLDINGS REPORT	028-11686			N	
0000885118-13-000016	30-SEP-2012								AMERICAN ASSETS INC	11455 EL CAMINO REAL #140		SAN DIEGO	CA	921302045	13F HOLDINGS REPORT	028-11686			N	
0000885118-13-000013	31-DEC-2011								AMERICAN ASSETS INC	11455 EL CAMINO REAL #140		SAN DIEGO	CA	921302045	13F HOLDINGS REPORT	028-11686			N	
0000885118-13-000017	31-DEC-2012								AMERICAN ASSETS INC	11455 EL CAMINO REAL #140		SAN DIEGO	CA	921302045	13F HOLDINGS REPORT	028-11686			N	
0000885118-13-000015	30-JUN-2012								AMERICAN ASSETS INC	11455 EL CAMINO REAL #140		SAN DIEGO	CA	921302045	13F HOLDINGS REPORT	028-11686			N	
