ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001121477-13-000027	108994		028-12983			American Independence Financial Services, LLC
0001121477-13-000026	39493		028-12983			American Independence Financial Services, LLC
0001121477-13-000025	37620		028-12983			American Independence Financial Services, LLC
0001121477-13-000024	56964		028-12983			American Independence Financial Services, LLC
0001121477-13-000023	92637		028-12983			American Independence Financial Services, LLC
0001121477-13-000022	105710		028-12983			American Independence Financial Services, LLC
0001376474-13-000308	64080		028-11527			The Toronto-Dominion Bank
0001376474-13-000307	113510		028-11527			The Toronto-Dominion Bank
0001376474-13-000306	56698		028-11527			The Toronto-Dominion Bank
0001376474-13-000305	81942		028-10968			Epoch Investment Partners, Inc.
0001376474-13-000305	81941		028-11451			TD Securities (USA) LLC
0001376474-13-000305	81940		028-05987			TD Asset Management Inc.
0001376474-13-000305	81939		028-05929			TDAM USA Inc.
0001568512-13-000007	73809	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001568512-13-000006	76442	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001568512-13-000005	74611	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001568512-13-000004	65775	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001568512-13-000003	47478	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001568512-13-000002	38631	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001140361-13-025132	92964	0001576707	028-15533			Veritas Investment Management LLP
0000009631-13-000008	94467	0001335382	028-11459			BANK OF NOVA SCOTIA TRUST CO
0000009631-13-000008	94466	0001483272	028-13705			Scotia Asset Management L.P.
0000009631-13-000008	94465	0001335644	028-11461			SCOTIA CAPITAL INC.
0001578984-13-000001	89599		028-03140			HSBC Holdings PLC
0000930413-13-003389	68585	0001239607	028-12517			JAY JEFFREY R
0001578695-13-000001	35867		028-03140			HSBC Holdings Plc
0001455270-13-000001	99120		028-03140			HSBC Holdings PLC
0001423255-13-000003	51910	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001423255-13-000004	70567	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001423255-13-000006	103692	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001423255-13-000005	108149	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001423255-13-000008	119950	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001423255-13-000007	38151	0001569395	028-15178			Mirae Asset Global Investments Co., Ltd.
0001104659-13-045781	42533		028-07292			ING Investment Management LLC
0001104659-13-045781	42528		028-13194			ING Investment Management, Inc.
0001104659-13-045781	42529		028-11943			ING Investment Management (Europe) B.V.
0001104659-13-045781	42532		028-04547			ING Investments, LLC
0001104659-13-045781	42531		028-10070			ING Investment Trust Company
0001104659-13-045781	42530		028-01217			ING Investment Management Co.
0001577929-13-000001	106940		028-03140			HSBC Holdings PLC
0000950123-13-003783	47969		028-6668			OakRidge Investments, LLC
0000950123-13-003782	99783		028-04037			Pioneer Investment Management, Inc.
0000950123-13-003781	76226		028-04037			Pioneer Investment Management, Inc.
0000950123-13-003778	86434		028-6668			OakRidge Investments, LLC
0000945621-13-000209	81365	0000873630	028-03140			HSBC HOLDINGS PLC
0001144204-13-030750	67434	0000019617	028-00694			JPMORGAN CHASE & CO
0001269624-13-000004	47117	0001005557	028-10048			LIBRA ADVISORS LLC
