ACCESSION_NUMBER	SEQUENCENUMBER	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001085146-13-001075	1					HSBC BANK USA, N.A.
0001085146-13-001075	17					HSBC GLOBAL ASSET MANAGEMENT (DEUTSCHLAND) GMBH
0001085146-13-001075	2					HSBC GLOBAL ASSET MANAGEMENT (HONG KONG) LTD
0001085146-13-001075	3					HSBC INTERNATIONAL TRUSTEE LTD
0001085146-13-001075	4					HSBC GLOBAL ASSET MANAGEMENT (UK) LTD
0001085146-13-001075	5					HSBC GLOBAL ASSET MANAGMENT (USA) INC
0001085146-13-001075	6					HSBC PRIVATE BANK (UK) LTD
0001085146-13-001075	7					HSBC GLOBAL ASSET MANAGEMENT (FRANCE)
0001085146-13-001075	8					HSBC GLOBAL ASSET MANAGEMENT (CANADA) LTD
0001085146-13-001075	9					HSBC TRINKAUS AND BURKHARDT A.G
0001085146-13-001075	10					HSBC GLOBAL ASSET MANAGEMENT (SINGAPORE) LTD
0001085146-13-001075	11					HSBC GLOBAL ASSET MANAGEMENT (TAIWAN) LTD
0001085146-13-001075	12					HSBC PRIVATE BANK (SUISSE) SA
0001085146-13-001075	13					HSBC BANK PLC
0001085146-13-001075	14					BANK OF BERMUDA LTD
0001085146-13-001075	15					HSBC GLOBAL ASSET MANAGEMENT (INTERNATIONAL) LTD
0001085146-13-001075	16					HSBC BANK BRASIL SA - BANCO MULTIPLO
0001164691-13-000063	1	0001456506	028-13417			Alyeska Master Fund, L.P.
0001535227-13-000004	2		028-111324			Cobiz Capital Management
0001535227-13-000004	3		028-0718			Summit Capital Management
0001140361-13-025848	1					Index Management Solutions, LLC
0001085146-13-001065	1					HSBC BANK USA, N.A.
0001085146-13-001065	17					HSBC GLOBAL ASSET MANAGEMENT (DEUTSCHLAND) GMBH
0001085146-13-001065	2					HSBC GLOBAL ASSET MANAGEMENT (HONG KONG) LTD
0001085146-13-001065	3					HSBC INTERNATIONAL TRUSTEE LTD
0001085146-13-001065	4					HSBC GLOBAL ASSET MANAGEMENT (UK) LTD
0001085146-13-001065	5					HSBC GLOBAL ASSET MANAGMENT (USA) INC
0001085146-13-001065	6					HSBC PRIVATE BANK (UK) LTD
0001085146-13-001065	7					HSBC GLOBAL ASSET MANAGEMENT (FRANCE)
0001085146-13-001065	8					HSBC GLOBAL ASSET MANAGEMENT (CANADA) LTD
0001085146-13-001065	9					HSBC TRINKAUS AND BURKHARDT A.G
0001085146-13-001065	10					HSBC GLOBAL ASSET MANAGEMENT (SINGAPORE) LTD
0001085146-13-001065	11					HSBC GLOBAL ASSET MANAGEMENT (TAIWAN) LTD
0001085146-13-001065	12					HSBC PRIVATE BANK (SUISSE) SA
0001085146-13-001065	13					HSBC BANK PLC
0001085146-13-001065	14					BANK OF BERMUDA LTD
0001085146-13-001065	15					HSBC GLOBAL ASSET MANAGEMENT (INTERNATIONAL) LTD
0001085146-13-001065	16					HSBC BANK BRASIL SA - BANCO MULTIPLO
0001140361-13-025388	1					Index Management Solutions, LLC
0000769993-13-000385	8	0001512722	028-14259			J. ARON & Co
0000769993-13-000385	7	0001512546	028-14253			Goldman Sachs Financial Markets, L.P.
0000769993-13-000385	6	0001379383	028-12021			Goldman Sachs Trust Company, N.A.
0000769993-13-000385	5	0001055957	028-06738			AYCO CO L P
0000769993-13-000385	4	0001098457	028-05111			GOLDMAN SACHS BANK AG
